metric,variant,n,mean_a,mean_b,median_a,median_b,delta_mean,delta_median,ci95_low,ci95_high,W,p,d_z,rank_biserial,pct_improved,pct_unchanged,pct_worse,rel_change_mean
coverage_ref,nocite,110,0.34257054813872995,0.3576674588038225,0.3333333333333333,0.3693181818181818,0.015096910665092484,0.0,-0.011832300275482089,0.0420747213644941,887.5,0.22614965656941632,0.10276595252714958,-0.17249417249417248,26.36363636363636,40.909090909090914,32.72727272727273,4.406949385204824
coverage_ref,top2,110,0.34257054813872995,0.28464334907516725,0.3333333333333333,0.25,-0.057927199063562695,0.0,-0.0909805920090011,-0.02469006813893178,807.5,0.0017615164322357685,-0.320264588892439,0.418018018018018,47.27272727272727,32.72727272727273,20.0,-16.90956778926134
coverage_ref,top5,110,0.34257054813872995,0.40078986669895755,0.3333333333333333,0.375,0.05821931856022764,0.0,0.020096435130526034,0.09706939462053098,1040.5,0.012718261026490962,0.28455859534891564,-0.32456994482310936,22.727272727272727,29.09090909090909,48.18181818181818,16.99484058876266
citation_accuracy,bm25,87,0.6775389361596257,0.7161923006750592,0.75,0.75,0.03865336451543349,0.0,-0.027428731070972455,0.10658152750825158,1060.0,0.28524380289409235,0.1198186853771196,-0.14688128772635814,36.7816091954023,19.54022988505747,43.67816091954023,5.704965789054958
citation_accuracy,chunk3,91,0.6775450739736454,0.7159863945578231,0.75,0.8,0.038441320584177735,0.125,-0.051035660767803616,0.12841491841491842,1453.0,0.2503025894433287,0.0875446371774502,-0.1460476050543638,39.56043956043956,9.89010989010989,50.54945054945055,5.673618193211595
citation_accuracy,chunk8,86,0.6782467532467531,0.6770835753393892,0.7142857142857143,0.6666666666666666,-0.0011631779073639557,0.0,-0.07993512704995263,0.07821928959283608,1098.0,0.6466823321746584,-0.003072684615124529,-0.0639386189258312,33.72093023255814,20.930232558139537,45.348837209302324,-0.1714977479502493
citation_accuracy,nocite,0,,,,,,,,,,,,,,,,
citation_accuracy,top2,88,0.6809597599370327,0.7397817460317462,0.75,0.8,0.05882198609471337,0.09166666666666667,-0.016098689820280752,0.1323211518595041,1014.5,0.06458828682705679,0.16275890845680158,-0.24879674194742687,29.545454545454547,17.045454545454543,53.40909090909091,8.638100157365045
citation_accuracy,top5,83,0.6636911281489595,0.5856252515891069,0.7142857142857143,0.5555555555555556,-0.07806587655985246,-0.06666666666666671,-0.15869803890888226,0.0035648655226968415,895.0,0.02817522759845568,-0.2052304411656392,0.2996870109546166,55.42168674698795,14.457831325301203,30.120481927710845,-11.762380608820095
words,bm25,110,150.93636363636364,160.47272727272727,150.0,158.0,9.536363636363637,8.0,2.0272727272727273,17.227272727272727,2336.0,0.04550057235839652,0.23154499667786008,-0.2206839032527106,41.81818181818181,0.9090909090909091,57.27272727272727,6.31813527675721
words,chunk3,110,150.93636363636364,124.5909090909091,150.0,122.0,-26.345454545454544,-27.0,-32.88181818181818,-19.754545454545454,937.5,2.8247124011176234e-10,-0.7353958092468765,0.6928746928746928,76.36363636363637,0.0,23.636363636363637,-17.45467686562669
words,chunk8,110,150.93636363636364,178.45454545454547,150.0,180.0,27.51818181818182,28.5,18.78159090909091,35.972727272727276,1180.0,3.906952066076439e-08,0.5898248189995777,-0.6063386155129274,27.27272727272727,0.9090909090909091,71.81818181818181,18.231644883454805
words,nocite,110,150.93636363636364,170.54545454545453,150.0,166.0,19.60909090909091,14.0,11.981818181818182,27.400227272727268,1490.5,8.489971809868258e-06,0.47391527082149343,-0.49354400271831467,31.818181818181817,1.8181818181818181,66.36363636363637,12.991628019032694
words,top2,110,150.93636363636364,137.88181818181818,150.0,134.5,-13.054545454545455,-11.0,-21.0,-5.308636363636371,2025.5,0.0021913023447037903,-0.30957587783937895,0.33644553644553643,62.727272727272734,0.0,37.27272727272727,-8.649039330241527
words,top5,110,150.93636363636364,174.8181818181818,150.0,173.5,23.881818181818183,23.0,15.85409090909091,31.99113636363636,1277.5,1.1975333447137806e-07,0.5555145303258471,-0.5814905814905815,23.636363636363637,0.0,76.36363636363637,15.822441727398658
