judge,model,mode,group,n,expert_rate,auroc,tau_from_other_subset,flag_rate,precision,recall,specificity,f1,kappa,kappa_at_0_5,flag_rate_at_0_5
ce_deberta_large_nli,cross-encoder/nli-deberta-v3-large,doc,doctor_written,976,0.2684426229508196,0.6153029914255779,0.15,0.5645491803278688,0.3266787658802177,0.6870229007633588,0.4803921568627451,0.4428044280442804,0.124089673590034,0.1138078771666557,0.6711065573770492
minicheck_deberta,lytang/MiniCheck-DeBERTa-v3-Large,top3,all,1781,0.2038180797304885,0.7300460043439911,0.05,0.4126895002807411,0.3374149659863945,0.6831955922865014,0.656558533145275,0.4517304189435337,0.2459801058844047,0.102422428398624,0.7827063447501403
minicheck_deberta,lytang/MiniCheck-DeBERTa-v3-Large,top3,generated,805,0.1254658385093167,0.7303105310531053,0.05,0.3739130434782609,0.2292358803986711,0.6831683168316832,0.6704545454545454,0.3432835820895522,0.1913488173875984,0.0614041648883982,0.768944099378882
minicheck_deberta,lytang/MiniCheck-DeBERTa-v3-Large,top3,doctor_written,976,0.2684426229508196,0.7243382085658692,0.05,0.444672131147541,0.412442396313364,0.683206106870229,0.6428571428571429,0.514367816091954,0.2699654775604142,0.1351458386962636,0.7940573770491803
minicheck_deberta,lytang/MiniCheck-DeBERTa-v3-Large,doc,all,1781,0.2038180797304885,0.7335915249429803,0.1,0.2846715328467153,0.4063116370808678,0.5674931129476584,0.7877291960507757,0.4735632183908046,0.3095426735331661,0.197370091957594,0.5569904548006738
minicheck_deberta,lytang/MiniCheck-DeBERTa-v3-Large,doc,generated,805,0.1254658385093167,0.7108601485148516,0.1,0.2347826086956521,0.2962962962962963,0.5544554455445545,0.8110795454545454,0.3862068965517241,0.2662030398623459,0.1235697107730007,0.5118012422360249
minicheck_deberta,lytang/MiniCheck-DeBERTa-v3-Large,doc,doctor_written,976,0.2684426229508196,0.7323941026792397,0.1,0.3258196721311475,0.4716981132075472,0.5725190839694656,0.7647058823529411,0.5172413793103449,0.31585588111594,0.238607223406556,0.5942622950819673
minicheck_roberta,lytang/MiniCheck-RoBERTa-Large,top3,all,1781,0.2038180797304885,0.7014020834061866,0.05,0.3722627737226277,0.3303167420814479,0.6033057851239669,0.68688293370945,0.4269005847953216,0.2219517848864162,0.0869467547950325,0.7978663672094329
minicheck_roberta,lytang/MiniCheck-RoBERTa-Large,top3,generated,805,0.1254658385093167,0.7013951395139514,0.05,0.3478260869565217,0.225,0.6237623762376238,0.6917613636363636,0.3307086614173228,0.1793759619420736,0.0541766377828271,0.7863354037267081
minicheck_roberta,lytang/MiniCheck-RoBERTa-Large,top3,doctor_written,976,0.2684426229508196,0.699940663288216,0.05,0.3924180327868852,0.4073107049608355,0.5954198473282443,0.6820728291316527,0.4837209302325581,0.2421017284319121,0.1131448892607799,0.8073770491803278
minicheck_roberta,lytang/MiniCheck-RoBERTa-Large,doc,all,1781,0.2038180797304885,0.7156910171078653,0.05,0.1807973048848961,0.4099378881987577,0.3636363636363636,0.8660084626234132,0.3854014598540146,0.239716977975346,0.182921038382676,0.5828186412128018
minicheck_roberta,lytang/MiniCheck-RoBERTa-Large,doc,generated,805,0.1254658385093167,0.6943069306930694,0.2,0.3242236024844721,0.21455938697318,0.5544554455445545,0.7088068181818182,0.3093922651933701,0.1568491084595791,0.1105339300920182,0.5316770186335403
minicheck_roberta,lytang/MiniCheck-RoBERTa-Large,doc,doctor_written,976,0.2684426229508196,0.7153521714029122,0.05,0.2100409836065573,0.4829268292682926,0.3778625954198473,0.8515406162464986,0.4239828693790149,0.246368824130527,0.2213039485766759,0.625
mednli_deberta_large,/Users/slaya/Desktop/Thesis/models/mednli-deberta-v3-large,top3,all,1781,0.2038180797304885,0.7402464185385071,0.5,0.23975294778214487,0.405152224824356,0.4765840220385675,0.8208744710860366,0.43797468354430374,0.27914981750028256,0.27914981750028256,0.23975294778214487
mednli_deberta_large,/Users/slaya/Desktop/Thesis/models/mednli-deberta-v3-large,top3,generated,805,0.12546583850931678,0.7825579432943295,0.5,0.19254658385093168,0.32903225806451614,0.504950495049505,0.8522727272727273,0.3984375,0.29066773473708296,0.29066773473708296,0.19254658385093168
mednli_deberta_large,/Users/slaya/Desktop/Thesis/models/mednli-deberta-v3-large,top3,doctor_written,976,0.26844262295081966,0.7068472427138793,0.3,0.19774590163934427,0.47668393782383417,0.3511450381679389,0.8585434173669467,0.40439560439560435,0.22875771253951038,0.2525141553283191,0.2786885245901639
mednli_deberta_large,/Users/slaya/Desktop/Thesis/models/mednli-deberta-v3-large,doc,all,1781,0.2038180797304885,0.7536057458803965,0.7,0.2116788321167883,0.44297082228116713,0.46005509641873277,0.8519040902679831,0.45135135135135135,0.30754674700595086,0.2763402400876356,0.14710836608646827
mednli_deberta_large,/Users/slaya/Desktop/Thesis/models/mednli-deberta-v3-large,doc,generated,805,0.12546583850931678,0.7825157515751575,0.85,0.22732919254658385,0.29508196721311475,0.5346534653465347,0.8167613636363636,0.38028169014084506,0.2607511452930802,0.3351450842818151,0.09440993788819876
mednli_deberta_large,/Users/slaya/Desktop/Thesis/models/mednli-deberta-v3-large,doc,doctor_written,976,0.26844262295081966,0.718623709025595,0.65,0.23668032786885246,0.4675324675324675,0.4122137404580153,0.8277310924369747,0.43813387423935096,0.2492808032788706,0.2244484731476467,0.19057377049180327
