metric,variant,n,mean_a,mean_b,median_a,median_b,delta_mean,delta_median,ci95_low,ci95_high,W,p,d_z,rank_biserial,pct_improved,pct_unchanged,pct_worse,rel_change_mean
CR,top2,110,0.026876885740522105,0.044050999505544954,0.0,0.0,0.01717411376502286,0.0,0.0011591646989374252,0.03473443286511468,240.5,0.09362888261484198,0.18996950304097363,-0.3157894736842105,10.909090909090908,66.36363636363637,22.727272727272727,63.89919550511595
CR,top5,110,0.026876885740522105,0.027290137818212684,0.0,0.0,0.00041325207769058017,0.0,-0.01339915821700581,0.014441407485859347,320.0,0.8379706109618639,0.005571077401424739,0.03903903903903904,15.454545454545453,67.27272727272727,17.272727272727273,1.537574262435925
coverage_ref,bm25,110,0.368833275310548,0.3966059319468411,0.375,0.375,0.027772656636292994,0.0,-0.007805899908172641,0.06315915145460599,1235.5,0.17652435849778103,0.1460042986086716,-0.17715617715617715,28.18181818181818,30.0,41.81818181818181,7.529867421237747
coverage_ref,chunk3,110,0.368833275310548,0.2964426356471811,0.375,0.2727272727272727,-0.07239063966336694,-0.06696428571428571,-0.10754968421729784,-0.03778470582447857,765.0,0.00029915076404604907,-0.38393209184323446,0.47710184552289814,50.90909090909091,30.909090909090907,18.181818181818183,-19.626927533155968
coverage_ref,chunk8,110,0.368833275310548,0.42839105339105343,0.375,0.42857142857142855,0.05955777808050534,0.08333333333333331,0.02699669806203897,0.09266115292535747,1001.0,0.002975435431536784,0.34080367996613753,-0.38209876543209875,20.0,27.27272727272727,52.72727272727272,16.147615214586956
coverage_ref,nocite,110,0.368833275310548,0.3882826390780936,0.375,0.3798076923076923,0.01944936376754559,0.0,-0.009637034997830455,0.048261824349892506,1008.5,0.3143879565873404,0.12626027706532433,-0.1402387041773231,28.18181818181818,38.18181818181819,33.63636363636363,5.273212876785529
coverage_ref,top2,110,0.368833275310548,0.3111354806809352,0.375,0.2928571428571428,-0.05769779462961282,0.0,-0.09233925386482206,-0.021471373638987278,776.5,0.0006041041943788893,-0.29847674913109024,0.4550877192982456,49.09090909090909,31.818181818181817,19.090909090909093,-15.64332680695166
coverage_ref,top5,110,0.368833275310548,0.44121745678563856,0.375,0.4226190476190476,0.07238418147509056,0.09090909090909091,0.03577465779170324,0.10988887848262846,1105.5,0.0006174763337137429,0.3673728029510057,-0.4224137931034483,23.636363636363637,20.909090909090907,55.45454545454545,19.625176555489734
citation_accuracy,bm25,87,0.7079166044683285,0.7429073161831782,0.75,0.7777777777777778,0.034990711714849645,0.0,-0.03309213854472474,0.10493647476406091,1129.0,0.39282907808025647,0.10469857992067566,-0.11658841940532082,37.93103448275862,18.39080459770115,43.67816091954023,4.942773130901344
citation_accuracy,chunk3,91,0.7065874601588887,0.7569335426478283,0.75,1.0,0.05034608248893963,0.1428571428571429,-0.03678187883545026,0.1377292647828362,1300.5,0.17152296171408066,0.11748808737368734,-0.1768987341772152,34.065934065934066,13.186813186813188,52.74725274725275,7.125244265956597
citation_accuracy,chunk8,86,0.70897765025672,0.7205602859672627,0.75,0.75,0.01158263571054269,0.0,-0.06775393050102353,0.08935607512642395,998.0,0.4921528753546206,0.03088012669302846,-0.09724106739032112,33.72093023255814,23.25581395348837,43.02325581395349,1.6337095684678755
citation_accuracy,nocite,0,,,,,,,,,,,,,,,,
citation_accuracy,top2,87,0.7191645519231725,0.7782658274037586,0.75,0.8333333333333334,0.05910127548058582,0.08333333333333337,-0.013950651838582871,0.1301721131678028,921.0,0.059758792203873624,0.17057622902247635,-0.25875251509054326,27.586206896551722,19.54022988505747,52.87356321839081,8.21804624860039
citation_accuracy,top5,83,0.6931231419183227,0.6086793728359994,0.75,0.6,-0.08444376908232332,-0.08333333333333337,-0.16261311479684973,-0.005633377666510207,955.5,0.019930746689398208,-0.2287502855249867,0.31135135135135134,56.62650602409639,10.843373493975903,32.53012048192771,-12.183083203456816
words,bm25,110,150.93636363636364,160.47272727272727,150.0,158.0,9.536363636363637,8.0,2.0272727272727273,17.227272727272727,2336.0,0.04550057235839652,0.23154499667786008,-0.2206839032527106,41.81818181818181,0.9090909090909091,57.27272727272727,6.31813527675721
words,chunk3,110,150.93636363636364,124.5909090909091,150.0,122.0,-26.345454545454544,-27.0,-32.88181818181818,-19.754545454545454,937.5,2.8247124011176234e-10,-0.7353958092468765,0.6928746928746928,76.36363636363637,0.0,23.636363636363637,-17.45467686562669
words,chunk8,110,150.93636363636364,178.45454545454547,150.0,180.0,27.51818181818182,28.5,18.78159090909091,35.972727272727276,1180.0,3.906952066076439e-08,0.5898248189995777,-0.6063386155129274,27.27272727272727,0.9090909090909091,71.81818181818181,18.231644883454805
words,nocite,110,150.93636363636364,170.54545454545453,150.0,166.0,19.60909090909091,14.0,11.981818181818182,27.400227272727268,1490.5,8.489971809868258e-06,0.47391527082149343,-0.49354400271831467,31.818181818181817,1.8181818181818181,66.36363636363637,12.991628019032694
words,top2,110,150.93636363636364,137.88181818181818,150.0,134.5,-13.054545454545455,-11.0,-21.0,-5.308636363636371,2025.5,0.0021913023447037903,-0.30957587783937895,0.33644553644553643,62.727272727272734,0.0,37.27272727272727,-8.649039330241527
words,top5,110,150.93636363636364,174.8181818181818,150.0,173.5,23.881818181818183,23.0,15.85409090909091,31.99113636363636,1277.5,1.1975333447137806e-07,0.5555145303258471,-0.5814905814905815,23.636363636363637,0.0,76.36363636363637,15.822441727398658
