doc_id,condition,n_source_sents,n_claims,coverage_at_0_5,coverage_at_0_6,coverage_at_0_7,mean_best_similarity
30,E3,27,3,0.1111111111111111,0.037037037037037035,0.0,0.22427183389663696
31,E0,84,11,0.16666666666666666,0.023809523809523808,0.0,0.3621661961078644
31,E1,84,8,0.08333333333333333,0.023809523809523808,0.0,0.3258940577507019
31,E1b,84,10,0.07142857142857142,0.03571428571428571,0.0,0.3432336151599884
31,E2,84,5,0.23809523809523808,0.09523809523809523,0.07142857142857142,0.39781057834625244
31,E3,84,4,0.10714285714285714,0.047619047619047616,0.023809523809523808,0.33897411823272705
32,E0,45,9,0.24444444444444444,0.1111111111111111,0.022222222222222223,0.36969950795173645
32,E1,45,9,0.24444444444444444,0.17777777777777778,0.022222222222222223,0.3414168953895569
32,E1b,45,11,0.3111111111111111,0.17777777777777778,0.08888888888888889,0.3732086718082428
32,E2,45,5,0.3333333333333333,0.15555555555555556,0.1111111111111111,0.44967108964920044
32,E3,45,6,0.26666666666666666,0.2,0.044444444444444446,0.3652009665966034
33,E0,43,11,0.18604651162790697,0.11627906976744186,0.09302325581395349,0.3741692006587982
33,E1,43,8,0.11627906976744186,0.09302325581395349,0.023255813953488372,0.3282894492149353
33,E1b,43,10,0.18604651162790697,0.16279069767441862,0.023255813953488372,0.36019590497016907
33,E2,43,5,0.32558139534883723,0.11627906976744186,0.11627906976744186,0.4304601848125458
33,E3,43,5,0.13953488372093023,0.11627906976744186,0.09302325581395349,0.345765084028244
34,E0,47,9,0.3191489361702128,0.2127659574468085,0.0851063829787234,0.40220555663108826
34,E1,47,11,0.3191489361702128,0.2127659574468085,0.10638297872340426,0.3971589207649231
34,E1b,47,10,0.3191489361702128,0.23404255319148937,0.14893617021276595,0.4138852655887604
34,E2,47,5,0.5106382978723404,0.3404255319148936,0.1702127659574468,0.47399309277534485
34,E3,47,6,0.3191489361702128,0.2553191489361702,0.1702127659574468,0.4025375247001648
35,E0,48,12,0.20833333333333334,0.1875,0.041666666666666664,0.39205658435821533
35,E1,48,11,0.20833333333333334,0.10416666666666667,0.0,0.3578108251094818
35,E1b,48,12,0.3125,0.1875,0.0625,0.38889703154563904
35,E2,48,5,0.22916666666666666,0.14583333333333334,0.14583333333333334,0.3927712142467499
35,E3,48,6,0.20833333333333334,0.14583333333333334,0.10416666666666667,0.3530038893222809
36,E0,53,10,0.3584905660377358,0.20754716981132076,0.07547169811320754,0.3887133002281189
36,E1,53,10,0.2830188679245283,0.1509433962264151,0.018867924528301886,0.36958715319633484
36,E1b,53,11,0.39622641509433965,0.22641509433962265,0.07547169811320754,0.39912453293800354
36,E2,53,5,0.2830188679245283,0.20754716981132076,0.1509433962264151,0.4171123802661896
36,E3,53,6,0.22641509433962265,0.16981132075471697,0.11320754716981132,0.387658029794693
37,E0,13,10,0.6153846153846154,0.38461538461538464,0.0,0.5027797818183899
37,E1,13,7,0.46153846153846156,0.23076923076923078,0.0,0.47230762243270874
37,E1b,13,11,0.6153846153846154,0.46153846153846156,0.07692307692307693,0.5394564270973206
37,E2,13,5,0.5384615384615384,0.38461538461538464,0.38461538461538464,0.6336609125137329
37,E3,13,6,0.6153846153846154,0.5384615384615384,0.3076923076923077,0.5689767003059387
38,E0,48,10,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.3196081817150116
